iter	MultiClass	Precision:use_weights=true;class=0	Precision:use_weights=true;class=1	Precision:use_weights=true;class=2	Precision:use_weights=false;class=0	Precision:use_weights=false;class=1	Precision:use_weights=false;class=2	Recall:use_weights=true;class=0	Recall:use_weights=true;class=1	Recall:use_weights=true;class=2	Recall:use_weights=false;class=0	Recall:use_weights=false;class=1	Recall:use_weights=false;class=2
0	1.070089478	0.4892475807	0.5981397832	0.5097328534	0.1676888032	0.9363073974	0.1806560135	0.5023622047	0.5599791558	0.5280235988	0.5023622047	0.5599791558	0.5280235988
1	1.045677164	0.5553356023	0.6115789944	0.5564370328	0.2024180967	0.939556962	0.2124603619	0.5448818898	0.6188639917	0.5599803343	0.5448818898	0.6188639917	0.5599803343
2	1.019695335	0.6108156648	0.6341732407	0.6049059561	0.231805388	0.9447983015	0.2309672674	0.6052493438	0.6261073476	0.6175024582	0.6052493438	0.6261073476	0.6175024582
3	0.9959432117	0.6489190701	0.6681576872	0.6460967843	0.2506028939	0.9521196214	0.2485663082	0.6545931759	0.6238144867	0.6819075713	0.6545931759	0.6238144867	0.6819075713
4	0.9766454013	0.6569516751	0.6590195067	0.6519854269	0.2521123993	0.9502034953	0.2485024505	0.6734908136	0.6204794164	0.6730580138	0.6734908136	0.6204794164	0.6730580138
5	0.963879148	0.6628786492	0.6626801999	0.6515841932	0.2537586347	0.9509788443	0.2538364326	0.6556430446	0.6277748828	0.6912487709	0.6556430446	0.6277748828	0.6912487709
6	0.9485083611	0.6706381193	0.6648109667	0.658669261	0.2584176823	0.9514252245	0.2597118366	0.6566929134	0.6348619072	0.7000983284	0.6566929134	0.6348619072	0.7000983284
7	0.9311105101	0.6797958659	0.674333454	0.6761993406	0.2633305989	0.9533865165	0.2676056338	0.674015748	0.6352266806	0.7192723697	0.674015748	0.6352266806	0.7192723697
8	0.9161449583	0.7006594127	0.6805116551	0.6911056631	0.2713050638	0.9546273803	0.2745916515	0.6918635171	0.6348097968	0.7438544739	0.6918635171	0.6348097968	0.7438544739
9	0.9019619126	0.710522609	0.6849947347	0.7063455892	0.274749949	0.9555190744	0.2833762413	0.7065616798	0.6369463262	0.7576204523	0.7065616798	0.6369463262	0.7576204523
