iter	Passed	Remaining
0	14405	14391311
1	29333	14637280
2	43759	14542873
3	58081	14462395
4	72772	14481764
5	87261	14456299
6	102431	14530632
7	117006	14508844
8	131381	14466572
9	145875	14441702
10	160702	14448652
11	175392	14440662
12	189708	14403252
13	204179	14380047
14	218526	14349883
15	233038	14331891
16	247841	14331082
17	262637	14328311
18	277255	14315151
19	291634	14290110
20	306276	14278316
21	320631	14253549
22	334914	14226591
23	349363	14207440
24	363768	14186980
25	377963	14159092
26	392395	14140759
27	406830	14122843
28	421087	14099166
29	435521	14081877
30	449848	14061391
31	464220	14042662
32	478719	14027925
33	493039	14008128
34	507354	13988498
35	521915	13975732
36	536452	13962252
37	551151	13952836
38	565441	13933058
39	579787	13914889
40	594122	13896681
41	608675	13883609
42	623562	13877895
43	638051	13863129
44	652445	13846338
45	667284	13838898
46	681640	13821355
47	696436	13812650
48	710748	13794314
49	725076	13776451
50	740053	13770796
51	755124	13766501
52	770044	13759089
53	785178	13755163
54	799676	13739897
55	814542	13730855
56	829681	13726140
57	844946	13723091
58	860079	13717544
59	874503	13700548
60	888858	13682590
61	903364	13667034
62	918026	13653826
63	932889	13643502
64	947680	13632014
65	962465	13620341
66	977688	13614671
67	993022	13610246
68	1008100	13602052
69	1022945	13590560
70	1037755	13578516
71	1052766	13568992
72	1067425	13554840
73	1082382	13544405
74	1097144	13531452
75	1111721	13516195
76	1126390	13502059
