,0
Slow_Stoch_14_per_3_smoothing_60_per_ago_%,4.69124961184426e+17
Slow_Stoch_14_per_3_smoothing_59_per_ago_%,4.4306246334084666e+17
Slow_Stoch_14_per_3_smoothing_34_per_ago_%,4.169999654972095e+17
Slow_Stoch_14_per_3_smoothing_32_per_ago_%,4.169999654972095e+17
Slow_Stoch_14_per_3_smoothing_33_per_ago_%,4.169999654972095e+17
Slow_Stoch_14_per_3_smoothing_35_per_ago_%,4.169999654972095e+17
Slow_Stoch_14_per_3_smoothing_24_per_ago_%,4.081150230506708e+17
Slow_Stoch_14_per_3_smoothing_25_per_ago_%,4.081150230506708e+17
Slow_Stoch_14_per_3_smoothing_23_per_ago_%,4.081150230506708e+17
Slow_Stoch_14_per_3_smoothing_26_per_ago_%,4.081150230506708e+17
Slow_Stoch_14_per_3_smoothing_31_per_ago_%,4.0396871657541984e+17
Slow_Stoch_14_per_3_smoothing_27_per_ago_%,3.966238308196063e+17
Slow_Stoch_14_per_3_smoothing_58_per_ago_%,3.909374676536881e+17
Slow_Stoch_14_per_3_smoothing_36_per_ago_%,3.909374676536303e+17
Slow_Stoch_14_per_3_smoothing_28_per_ago_%,3.880942860707792e+17
Slow_Stoch_14_per_3_smoothing_22_per_ago_%,3.879758201715664e+17
Slow_Stoch_14_per_3_smoothing_29_per_ago_%,3.8172345326456224e+17
Slow_Stoch_14_per_3_smoothing_30_per_ago_%,3.79354135278738e+17
Slow_Stoch_14_per_3_smoothing_37_per_ago_%,3.518437208882614e+17
Slow_Stoch_14_per_3_smoothing_21_per_ago_%,3.492374711040826e+17
Slow_Stoch_14_per_3_smoothing_57_per_ago_%,3.0753747455424384e+17
Slow_Stoch_14_per_3_smoothing_38_per_ago_%,3.062343496619832e+17
Slow_Stoch_14_per_3_smoothing_20_per_ago_%,2.94506225632572e+17
Slow_Stoch_14_per_3_smoothing_19_per_ago_%,2.7886872692641286e+17
Slow_Stoch_14_per_3_smoothing_18_per_ago_%,2.7104997757332176e+17
Slow_Stoch_14_per_3_smoothing_17_per_ago_%,2.6974685268112246e+17
Slow_Stoch_14_per_3_smoothing_39_per_ago_%,2.6062497843570506e+17
Slow_Stoch_14_per_3_smoothing_56_per_ago_%,2.5541247886708534e+17
Slow_Stoch_14_per_3_smoothing_16_per_ago_%,2.4107810505319104e+17
Slow_Stoch_14_per_3_smoothing_55_per_ago_%,2.3977498016086134e+17
Slow_Stoch_14_per_3_smoothing_54_per_ago_%,2.3977498016086134e+17
Slow_Stoch_14_per_3_smoothing_53_per_ago_%,2.223999815984173e+17
Slow_Stoch_14_per_3_smoothing_15_per_ago_%,2.222170868768333e+17
Slow_Stoch_14_per_3_smoothing_14_per_ago_%,2.222170868768333e+17
Slow_Stoch_14_per_3_smoothing_13_per_ago_%,2.222170868768333e+17
Slow_Stoch_14_per_3_smoothing_11_per_ago_%,2.214306042656217e+17
Slow_Stoch_14_per_3_smoothing_10_per_ago_%,2.173551943711832e+17
Slow_Stoch_14_per_3_smoothing_8_per_ago_%,2.159464107039604e+17
Slow_Stoch_14_per_3_smoothing_7_per_ago_%,2.159464107039604e+17
Slow_Stoch_14_per_3_smoothing_9_per_ago_%,2.159464107039604e+17
Slow_Stoch_14_per_3_smoothing_6_per_ago_%,2.1594641070392733e+17
Slow_Stoch_14_per_3_smoothing_5_per_ago_%,2.1408480371506656e+17
Slow_Stoch_14_per_3_smoothing_12_per_ago_%,2.134307255838955e+17
Slow_Stoch_14_per_3_smoothing_40_per_ago_%,2.084999827485755e+17
Slow_Stoch_14_per_3_smoothing_46_per_ago_%,2.0246445693219085e+17
Slow_Stoch_14_per_3_smoothing_43_per_ago_%,2.0246445693219085e+17
Slow_Stoch_14_per_3_smoothing_44_per_ago_%,2.0246445693219085e+17
Slow_Stoch_14_per_3_smoothing_45_per_ago_%,2.0246445693219085e+17
Slow_Stoch_14_per_3_smoothing_42_per_ago_%,2.0122991756067536e+17
Slow_Stoch_14_per_3_smoothing_47_per_ago_%,1.925881419598696e+17
Slow_Stoch_14_per_3_smoothing_41_per_ago_%,1.9011906321685616e+17
Slow_Stoch_14_per_3_smoothing_52_per_ago_%,1.8547810965331293e+17
Slow_Stoch_14_per_3_smoothing_4_per_ago_%,1.82437484904996e+17
